"","location_name","date","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","est_infections_mean","est_infections_lower","est_infections_upper"
"30400","Florida","2020-08-21",198.696289704275,84.4408841419081,343.973962997892,10815.9360302918,4103.4230676027,20024.2499165404
"30401","Florida","2020-08-22",200.272412858971,83.8197514904717,350.095425646118,10494.5884907612,3966.38770630229,19381.4630633049
"30402","Florida","2020-08-23",201.843628067143,83.2381200233737,356.116341095408,10186.9857107727,3837.54007581687,18784.6175277867
"30403","Florida","2020-08-24",203.410119257531,82.7490800445195,362.81157976934,9892.72014021375,3717.43953252034,18260.0042331465
"30404","Florida","2020-08-25",204.974922778457,82.3471942235314,367.376091836145,9611.29946957151,3616.27433173424,17810.4507042692
"30405","Florida","2020-08-26",200.908635770266,81.5965186013544,352.337945462181,9340.15658433743,3506.99997148598,17365.3243521633
"30406","Florida","2020-08-27",191.255843431937,75.4509683764255,351.423297381663,9079.63928282884,3404.37071728874,16838.2999192403
"30407","Florida","2020-08-28",180.977226758492,70.0733701962868,345.52387543202,8833.62964002855,3307.18058575625,16397.9678214244
"30408","Florida","2020-08-29",169.680543216079,64.4035080056087,332.57958795804,8600.39453454802,3209.29278570991,16078.4996609463
"30409","Florida","2020-08-30",157.085845650289,59.7963761814116,291.173646542043,8376.84965192465,3128.03830305906,15722.3795294505
"30410","Florida","2020-08-31",148.61737843559,57.2381377284657,270.855915090465,8162.54208972318,3045.48397312432,15343.324375237
"30411","Florida","2020-09-01",145.00059119102,55.4326188370929,268.060840003104,7957.02399493149,2961.87842791406,15056.1317100167
"30412","Florida","2020-09-02",140.964689764773,53.659054187581,262.940172925412,7757.60982377781,2886.28374900483,14641.4462439544
"30413","Florida","2020-09-03",136.774443392759,51.7296642101351,257.524357146248,7564.82715306251,2812.69519946026,14277.1868688019
"30414","Florida","2020-09-04",132.580121215402,49.7957265713558,250.399276129599,7383.73042400757,2750.22759239823,14033.0176726855
"30415","Florida","2020-09-05",128.467317883904,47.9518394752672,241.707295396712,7213.06279728048,2689.42802151972,13798.2388745823
"30416","Florida","2020-09-06",124.488174176858,46.2109530763356,235.226949248569,7049.55039611159,2636.85004623709,13510.4858543048
"30417","Florida","2020-09-07",120.66625656268,44.7674496931907,228.843976028609,6893.05052217249,2572.53472609054,13090.959141656
"30418","Florida","2020-09-08",117.007209598683,43.4142576572815,221.606152024392,6743.34291394817,2537.15206300281,12833.2054744106
"30419","Florida","2020-09-09",113.51253340719,42.1182672668373,214.125302375956,6597.40058957578,2476.38592878515,12581.1509602657
"30420","Florida","2020-09-10",110.177988729994,41.1592239084453,206.931111701385,6455.59145074205,2452.82183654215,12339.3260643523
"30421","Florida","2020-09-11",106.986972252451,40.1309419281664,201.787546675743,6323.47957757092,2405.67849743012,12114.2956889977
"30422","Florida","2020-09-12",103.928544501652,39.1785032543485,197.675293430021,6200.06194291306,2361.78354972852,11904.4601216852
"30423","Florida","2020-09-13",101.006957711484,38.2906304760248,193.180268891361,6081.99016335402,2320.99592774576,11780.4680922031
"30424","Florida","2020-09-14",98.2220980858164,36.6360799501999,187.27176939084,5969.16235313171,2292.60742976153,11510.5527422531
"30425","Florida","2020-09-15",95.5633881958925,35.8239644787216,181.446296722582,5861.42540044262,2245.62459227201,11327.0041286351
"30426","Florida","2020-09-16",93.0238208407466,34.9794489413102,175.788286547221,5755.67776774022,2215.22340926174,11147.2710315648
"30427","Florida","2020-09-17",90.6004020455187,33.9417986686221,169.76823662652,5652.2066270537,2191.06718387147,10971.6905863929
"30428","Florida","2020-09-18",88.2745716090732,32.9624692346677,164.789898506223,5556.84529308414,2162.47278193682,10810.3004120705
"30429","Florida","2020-09-19",86.0339204504552,32.0322653278403,160.437751687578,5468.81440086075,2120.323432016,10661.8472144132
"30430","Florida","2020-09-20",83.8874563148106,31.0520552092224,156.943383281797,5384.7925786882,2080.42924445523,10498.1220810726
"30431","Florida","2020-09-21",81.8364903536637,30.314410386529,153.19251649891,5304.74013329706,2053.10708774002,10386.744773501
"30432","Florida","2020-09-22",79.8752128770082,29.5743141031459,150.650644368457,5240.77007553114,2037.98959440533,10248.85336808
"30433","Florida","2020-09-23",78.0064401274884,29.1346238050797,148.293528262978,5189.81141858825,2030.16006452311,10118.3639868786
"30434","Florida","2020-09-24",76.2309938332762,28.5818449458834,144.697967214943,5140.62591696147,2007.92242173534,9993.17934629414
